Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2018-02-13,4.0,Wellington,Westpac Stadium,2017,Trans-Tasman Twenty20 Trophy,T20,20,"New Zealand, England",New Zealand,England,international,England,field,New Zealand,,12.0,,KS Williamson
2018-02-16,5.0,Auckland,Eden Park,2017,Trans-Tasman Twenty20 Trophy,T20,20,"New Zealand, Australia",New Zealand,Australia,international,New Zealand,bat,Australia,,,5.0,DJM Short
2018-02-18,6.0,Hamilton,Seddon Park,2017,Trans-Tasman Twenty20 Trophy,T20,20,"England, New Zealand",England,New Zealand,international,New Zealand,field,England,,2.0,,EJG Morgan
2018-02-21,,Auckland,Eden Park,2017,Trans-Tasman Twenty20 Trophy,T20,20,"New Zealand, Australia",New Zealand,Australia,international,New Zealand,bat,Australia,,19.0,,AC Agar
2017-01-14,1.0,Abu Dhabi,Sheikh Zayed Stadium,2016,Desert T20 Challenge,T20,20,"Hong Kong, Scotland",Hong Kong,Scotland,international,Scotland,bat,Scotland,,24.0,,CS MacLeod
2017-01-15,3.0,Abu Dhabi,Sheikh Zayed Stadium,2016,Desert T20 Challenge,T20,20,"Netherlands, Oman",Netherlands,Oman,international,Oman,bat,Netherlands,,,5.0,MJG Rippon
2017-01-16,5.0,Abu Dhabi,Sheikh Zayed Stadium,2016,Desert T20 Challenge,T20,20,"Hong Kong, Oman",Hong Kong,Oman,international,Oman,field,Oman,,,7.0,Bilal Khan
2017-01-17,8.0,Abu Dhabi,Sheikh Zayed Stadium,2016,Desert T20 Challenge,T20,20,"Netherlands, Scotland",Netherlands,Scotland,international,Netherlands,field,Scotland,,7.0,,JH Davey
2017-01-18,9.0,,Dubai International Cricket Stadium,2016,Desert T20 Challenge,T20,20,"United Arab Emirates, Ireland",United Arab Emirates,Ireland,international,Ireland,bat,Ireland,,24.0,,WB Rankin
2017-01-18,10.0,,Dubai International Cricket Stadium,2016,Desert T20 Challenge,T20,20,"Hong Kong, Netherlands",Hong Kong,Netherlands,international,Hong Kong,bat,Hong Kong,,91.0,,Anshuman Rath
2017-01-19,12.0,,Dubai International Cricket Stadium,2016,Desert T20 Challenge,T20,20,"Oman, Scotland",Oman,Scotland,international,Oman,bat,Scotland,,,7.0,MH Cross
2017-01-20,,,Dubai International Cricket Stadium,2016,Desert T20 Challenge,T20,20,"Ireland, Scotland",Ireland,Scotland,international,Scotland,field,Ireland,,98.0,,GC Wilson
2017-10-26,1.0,Bloemfontein,Mangaung Oval,2017,Bangladesh tour of South Africa,T20,20,"South Africa, Bangladesh",South Africa,Bangladesh,international,South Africa,bat,South Africa,,20.0,,AB de Villiers
2017-10-29,2.0,Potchefstroom,Senwes Park,2017,Bangladesh tour of South Africa,T20,20,"South Africa, Bangladesh",South Africa,Bangladesh,international,Bangladesh,field,South Africa,,83.0,,DA Miller
2017-03-26,1.0,Barbados,"Kensington Oval, Bridgetown",2017,Pakistan in West Indies T20I Series,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,Pakistan,field,Pakistan,,,6.0,Shadab Khan
2017-03-30,2.0,Trinidad,"Queen's Park Oval, Port of Spain",2017,Pakistan in West Indies T20I Series,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,West Indies,field,Pakistan,,3.0,,Shadab Khan
2017-04-04,1.0,Colombo,R Premadasa Stadium,2016,Bangladesh in Sri Lanka T20I Series,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,bat,Sri Lanka,,,6.0,MDKJ Perera
2017-04-06,2.0,Colombo,R Premadasa Stadium,2016,Bangladesh in Sri Lanka T20I Series,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,bat,Bangladesh,,45.0,,Shakib Al Hasan
2017-04-01,3.0,Trinidad,"Queen's Park Oval, Port of Spain",2017,Pakistan in West Indies T20I Series,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,Pakistan,bat,West Indies,,,7.0,E Lewis
2017-04-02,4.0,Trinidad,"Queen's Park Oval, Port of Spain",2017,Pakistan in West Indies T20I Series,T20,20,"West Indies, Pakistan",West Indies,Pakistan,international,Pakistan,field,Pakistan,,,7.0,Hasan Ali
2017-11-17,1.0,Sydney,North Sydney Oval,2017,England Women tour of Australia,T20,20,"England, Australia",England,Australia,international,Australia,field,Australia,,,6.0,BL Mooney
2017-11-19,2.0,Canberra,Manuka Oval,2017,England Women tour of Australia,T20,20,"England, Australia",England,Australia,international,England,bat,England,,40.0,,KH Brunt
2017-11-21,3.0,Canberra,Manuka Oval,2017,England Women tour of Australia,T20,20,"Australia, England",Australia,England,international,Australia,bat,England,,,4.0,DN Wyatt
2017-04-12,1.0,Abu Dhabi,Sheikh Zayed Stadium,2017,Papua New Guinea in United Arab Emirates T20I Series,T20,20,"United Arab Emirates, Papua New Guinea",United Arab Emirates,Papua New Guinea,international,United Arab Emirates,field,United Arab Emirates,,,5.0,
2017-04-14,2.0,Abu Dhabi,Sheikh Zayed Stadium,2017,Papua New Guinea in United Arab Emirates T20I Series,T20,20,"United Arab Emirates, Papua New Guinea",United Arab Emirates,Papua New Guinea,international,Papua New Guinea,field,United Arab Emirates,,30.0,,
2017-04-14,3.0,Abu Dhabi,Sheikh Zayed Stadium,2017,Papua New Guinea in United Arab Emirates T20I Series,T20,20,"United Arab Emirates, Papua New Guinea",United Arab Emirates,Papua New Guinea,international,Papua New Guinea,bat,United Arab Emirates,,,5.0,
2017-07-09,,Jamaica,"Sabina Park, Kingston",2017,,T20,20,"West Indies, India",West Indies,India,international,West Indies,field,West Indies,,,9.0,E Lewis
2017-09-06,,Colombo,"R.Premadasa Stadium, Khettarama",2017,India tour of Sri Lanka,T20,20,"Sri Lanka, India",Sri Lanka,India,international,India,field,India,,,7.0,V Kohli
2017-12-29,1.0,Nelson,Saxton Oval,2017,West Indies tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,New Zealand,,47.0,,GD Phillips
2018-01-01,2.0,Mount Maunganui,Bay Oval,2017,West Indies tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,,no result,,,
2018-01-03,3.0,Mount Maunganui,Bay Oval,2017,West Indies tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,New Zealand,bat,New Zealand,,119.0,,C Munro
2018-01-22,1.0,Wellington,Westpac Stadium,2017,Pakistan tour of New Zealand,T20,20,"Pakistan, New Zealand",Pakistan,New Zealand,international,New Zealand,field,New Zealand,,,7.0,C Munro
2018-01-25,2.0,Auckland,Eden Park,2017,Pakistan tour of New Zealand,T20,20,"Pakistan, New Zealand",Pakistan,New Zealand,international,Pakistan,bat,Pakistan,,48.0,,Fakhar Zaman
2018-01-28,3.0,Mount Maunganui,Bay Oval,2017,Pakistan tour of New Zealand,T20,20,"Pakistan, New Zealand",Pakistan,New Zealand,international,Pakistan,bat,Pakistan,,18.0,,Shadab Khan
2017-09-12,1.0,Lahore,Gaddafi Stadium,2017,Independence Cup,T20,20,"Pakistan, ICC World XI",Pakistan,ICC World XI,international,ICC World XI,field,Pakistan,,20.0,,Babar Azam
2017-09-13,2.0,Lahore,Gaddafi Stadium,2017,Independence Cup,T20,20,"Pakistan, ICC World XI",Pakistan,ICC World XI,international,Pakistan,bat,ICC World XI,,,7.0,NLTC Perera
2017-09-15,3.0,Lahore,Gaddafi Stadium,2017,Independence Cup,T20,20,"Pakistan, ICC World XI",Pakistan,ICC World XI,international,ICC World XI,field,Pakistan,,33.0,,Ahmed Shehzad
2017-10-07,1.0,Ranchi,JSCA International Stadium Complex,2017,Australia tour of India,T20,20,"Australia, India",Australia,India,international,India,field,India,,,9.0,Kuldeep Yadav
