Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2008-01-25,2.0,Cape Town,Newlands,2007,West Indies in South Africa ODI Series,ODI,50,"South Africa, West Indies",South Africa,West Indies,international,South Africa,bat,South Africa,,86.0,,SM Pollock
2008-01-27,3.0,Port Elizabeth,St George's Park,2007,West Indies in South Africa ODI Series,ODI,50,"South Africa, West Indies",South Africa,West Indies,international,West Indies,bat,South Africa,,,7.0,JH Kallis
2008-02-01,4.0,Durban,Kingsmead,2007,West Indies in South Africa ODI Series,ODI,50,"South Africa, West Indies",South Africa,West Indies,international,West Indies,bat,South Africa,,,5.0,AB de Villiers
2008-02-03,5.0,Johannesburg,New Wanderers Stadium,2007,West Indies in South Africa ODI Series,ODI,50,"South Africa, West Indies",South Africa,West Indies,international,South Africa,field,South Africa,,,8.0,HH Gibbs
2007-10-18,1.0,Lahore,Gaddafi Stadium,2007,South Africa in Pakistan ODI Series,ODI,50,"Pakistan, South Africa",Pakistan,South Africa,international,South Africa,bat,South Africa,,45.0,,AB de Villiers
2007-10-20,2.0,Lahore,Gaddafi Stadium,2007,South Africa in Pakistan ODI Series,ODI,50,"Pakistan, South Africa",Pakistan,South Africa,international,Pakistan,bat,Pakistan,,25.0,,Mohammad Yousuf
2007-10-23,3.0,Faisalabad,Iqbal Stadium,2007,South Africa in Pakistan ODI Series,ODI,50,"Pakistan, South Africa",Pakistan,South Africa,international,South Africa,bat,Pakistan,,,6.0,Shahid Afridi
2007-10-26,4.0,,Multan Cricket Stadium,2007,South Africa in Pakistan ODI Series,ODI,50,"Pakistan, South Africa",Pakistan,South Africa,international,Pakistan,bat,South Africa,,,7.0,SM Pollock
2007-10-29,5.0,Lahore,Gaddafi Stadium,2007,South Africa in Pakistan ODI Series,ODI,50,"Pakistan, South Africa",Pakistan,South Africa,international,South Africa,bat,South Africa,,14.0,,M Ntini
2007-12-26,1.0,Auckland,Eden Park,2007,Bangladesh in New Zealand ODI Series,ODI,50,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,New Zealand,field,New Zealand,,,6.0,JM How
2007-12-28,2.0,Napier,McLean Park,2007,Bangladesh in New Zealand ODI Series,ODI,50,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,New Zealand,bat,New Zealand,,102.0,,PG Fulton
2007-12-31,3.0,,Queenstown Events Centre,2007,Bangladesh in New Zealand ODI Series,ODI,50,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,New Zealand,field,New Zealand,,,10.0,DL Vettori
2008-02-09,1.0,Wellington,Westpac Stadium,2007,England in New Zealand ODI Series,ODI,50,"New Zealand, England",New Zealand,England,international,England,bat,New Zealand,,,6.0,SB Styris
2008-02-12,2.0,Hamilton,Seddon Park,2007,England in New Zealand ODI Series,ODI,50,"New Zealand, England",New Zealand,England,international,New Zealand,field,New Zealand,,,10.0,JD Ryder
2008-02-15,3.0,Auckland,Eden Park,2007,England in New Zealand ODI Series,ODI,50,"New Zealand, England",New Zealand,England,international,England,field,England,,,6.0,PD Collingwood
2008-02-20,4.0,Napier,McLean Park,2007,England in New Zealand ODI Series,ODI,50,"New Zealand, England",New Zealand,England,international,New Zealand,field,,tie,,,JM How
2008-02-23,5.0,Christchurch,AMI Stadium,2007,England in New Zealand ODI Series,ODI,50,"New Zealand, England",New Zealand,England,international,New Zealand,field,New Zealand,,34.0,,BB McCullum
2007-08-22,1.0,Bulawayo,Queens Sports Club,2007,South Africa in Zimbabwe ODI Series,ODI,50,"Zimbabwe, South Africa",Zimbabwe,South Africa,international,Zimbabwe,bat,South Africa,,,5.0,GB Brent
2007-08-25,2.0,,Harare Sports Club,2007,South Africa in Zimbabwe ODI Series,ODI,50,"Zimbabwe, South Africa",Zimbabwe,South Africa,international,South Africa,field,South Africa,,,8.0,HH Gibbs
2007-08-26,3.0,,Harare Sports Club,2007,South Africa in Zimbabwe ODI Series,ODI,50,"Zimbabwe, South Africa",Zimbabwe,South Africa,international,South Africa,bat,South Africa,,28.0,,AB de Villiers
